pipeline_name,pipeline_stable_id,procedure_name,procedure_stable_id,parameter_name,parameter_stable_id,strain_accession_id,strain_name,genetic_background,gene_symbol,gene_accession_id,allele_symbol,allele_accession_id,phenotyping_center,colony_id,date_of_experiment,date_of_birth,age_in_weeks,developmental_stage_name,zygosity,sex,biological_sample_group,external_sample_id,metadata,metadata_group,weight,production_center,data_point
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,Fbxo7,MGI:1917004,Fbxo7<tm1a(EUCOMM)Wtsi>,MGI:4842259,WTSI,MEBV,2012-07-17,2012-03-29,15,postnatal,homozygote,male,experimental,1112246,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-07-17T09:45:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-07-17T09:45:00+01:00, Date of measurement = 2012-07-17, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 788D9, Blood collection experimenter ID = 8E98D]""",c5d5b3349a0014cdac742fb284d786ed,28.2,WTSI,9.4
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,Fbxo7,MGI:1917004,Fbxo7<tm1a(EUCOMM)Wtsi>,MGI:4842259,WTSI,MEBV,2012-12-27,2012-09-06,16,postnatal,homozygote,female,experimental,1255247,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-12-27T09:45:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-12-27T09:45:00Z, Date of measurement = 2012-12-27, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 88AE6, Blood collection experimenter ID = 428FC]""",c5d5b3349a0014cdac742fb284d786ed,23.5,WTSI,9.42
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,Fbxo7,MGI:1917004,Fbxo7<tm1a(EUCOMM)Wtsi>,MGI:4842259,WTSI,MEBV,2012-09-05,2012-05-19,15,postnatal,homozygote,male,experimental,1156919,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-09-05T10:11:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-09-05T10:11:00+01:00, Date of measurement = 2012-09-05, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 88AE6, Blood collection experimenter ID = 4E4B5]""",c5d5b3349a0014cdac742fb284d786ed,31.6,WTSI,8.0
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,Fbxo7,MGI:1917004,Fbxo7<tm1a(EUCOMM)Wtsi>,MGI:4842259,WTSI,MEBV,2012-09-05,2012-05-19,15,postnatal,homozygote,female,experimental,1162457,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-09-05T11:10:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-09-05T11:10:00+01:00, Date of measurement = 2012-09-05, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 88AE6, Blood collection experimenter ID = 4E4B5]""",c5d5b3349a0014cdac742fb284d786ed,23.1,WTSI,9.6
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MCZU,2012-08-15,2012-04-22,16,postnatal,homozygote,male,control,1132624,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-08-15T10:09:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-08-15T10:09:00+01:00, Date of measurement = 2012-08-15, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 788D9, Blood collection experimenter ID = 428FC]""",c5d5b3349a0014cdac742fb284d786ed,35.6,WTSI,11.81
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MUAV,2013-12-19,2013-08-29,16,postnatal,homozygote,male,control,1591028,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2013-12-19T11:30:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2013-12-19T11:30:00Z, Date of measurement = 2013-12-19, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = D554F, Blood collection experimenter ID = 996A7]""",c5d5b3349a0014cdac742fb284d786ed,28.1,WTSI,10.78
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MGNF,2015-03-23,2014-12-04,15,postnatal,homozygote,male,control,1996406,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2015-03-23T10:00:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2015-03-23T10:00:00Z, Date of measurement = 2015-03-23, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = E57C6, Blood collection experimenter ID = 996A7]""",c5d5b3349a0014cdac742fb284d786ed,30.8,WTSI,10.76
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MDLW,2012-04-10,2011-12-20,16,postnatal,homozygote,male,control,1021202,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2012-04-10T10:57:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2012-04-10T10:57:00+01:00, Date of measurement = 2012-04-10, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 788D9, Blood collection experimenter ID = 996A7]""",c5d5b3349a0014cdac742fb284d786ed,32.6,WTSI,11.07
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MUBL,2016-02-15,2015-10-30,15,postnatal,homozygote,female,control,2272226,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2016-02-15T10:03:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2016-02-15T10:03:00Z, Date of measurement = 2016-02-15, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 46922, Blood collection experimenter ID = 7250E]""",c5d5b3349a0014cdac742fb284d786ed,24.3,WTSI,10.44
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MEQX,2014-03-17,2013-11-24,16,postnatal,homozygote,female,control,1670609,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2014-03-17T09:12:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2014-03-17T09:12:00Z, Date of measurement = 2014-03-17, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = AFDA3, Blood collection experimenter ID = 428FC]""",c5d5b3349a0014cdac742fb284d786ed,29.0,WTSI,10.57
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MFZV,2014-11-03,2014-07-15,15,postnatal,homozygote,female,control,1875964,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2014-11-03T10:08:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2014-11-03T10:08:00Z, Date of measurement = 2014-11-03, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 88AE6, Blood collection experimenter ID = 996A7]""",c5d5b3349a0014cdac742fb284d786ed,23.9,WTSI,11.28
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MUDB,2016-01-20,2015-09-29,16,postnatal,homozygote,male,control,2249542,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2016-01-20T10:09:00Z, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2016-01-20T10:09:00Z, Date of measurement = 2016-01-20, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = A1140, Blood collection experimenter ID = C0F16]""",c5d5b3349a0014cdac742fb284d786ed,33.0,WTSI,10.19
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MGXY,2016-05-23,2016-02-03,15,postnatal,homozygote,female,control,2344737,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2016-05-23T10:55:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2016-05-23T10:55:00+01:00, Date of measurement = 2016-05-23, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 0D087, Blood collection experimenter ID = 7250E]""",c5d5b3349a0014cdac742fb284d786ed,29.5,WTSI,12.17
MGP Select Pipeline,MGP_001,Hematology,IMPC_HEM_001,Red blood cell count,IMPC_HEM_002_001,MGI:2159965,C57BL/6N,involves: C57BL/6N,-,-,-,-,WTSI,MFZV,2015-05-28,2015-02-05,16,postnatal,homozygote,male,control,2046856,"""[Equipment ID = scil Vet abc hematology analyzer, Equipment manufacturer = Scil animal care company Gmbh, Equipment model = Scil Vet abc, Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg), Method of blood collection = Retro-orbital puncture, Anticoagulant = EDTA, Blood collection tubes = Kabe Labortechnik 200ul EDTA, Date and time of sacrifice = 2015-05-28T10:37:00+01:00, Samples kept on ice between collection and analysis = No, ID for blood collection SOP = ESLIM_024_001, Date and time of blood collection = 2015-05-28T10:37:00+01:00, Date of measurement = 2015-05-28, Chip card number = Mouse Card (E0401091230), Storage temperature from blood collection until measurement = 18-22, Blood analysis experimenter ID = 46922, Blood collection experimenter ID = 67F7F]""",c5d5b3349a0014cdac742fb284d786ed,30.9,WTSI,11.99
